Date,Year,Month,Hour Ending,Electricity Price
2009-07-24 00:00:00,2009,7,6,24.07
2009-07-24 00:00:00,2009,7,7,15.23
2009-07-24 00:00:00,2009,7,8,22.21
2009-07-24 00:00:00,2009,7,9,26.35
2009-07-24 00:00:00,2009,7,10,29.04
2009-07-24 00:00:00,2009,7,11,32.38
2009-07-24 00:00:00,2009,7,12,33.73
2009-07-24 00:00:00,2009,7,13,34.38
2009-07-24 00:00:00,2009,7,14,34.99
2009-07-24 00:00:00,2009,7,15,36.22
2009-07-24 00:00:00,2009,7,16,37.17
2009-07-24 00:00:00,2009,7,17,36.54
2009-07-24 00:00:00,2009,7,18,35.64
2009-07-24 00:00:00,2009,7,19,31.73
2009-07-24 00:00:00,2009,7,20,31.98
2009-07-24 00:00:00,2009,7,21,31.87
2009-07-24 00:00:00,2009,7,22,32.18
2009-07-24 00:00:00,2009,7,23,27.27
2009-07-24 00:00:00,2009,7,24,22.86
2009-07-25 00:00:00,2009,7,1,21.26
